gender,age,location,purchase_amount,down_payment,installment_amount,installments,payment_status,product_category,merchant_name,customer_income,credit_score,late_payments,fraud_flag
Male,38,Birmingham,1775.45,496.09,100.72,7,Paid,Home,Argos,1311.36,604,0,0
Male,43,Liverpool,817.07,98.51,158.64,2,Ongoing,Electronics,Amazon,9647.23,402,0,0
Other,44,Manchester,351.89,386.6,215.74,2,Missed,Sports,Zara,1973.31,764,0,0
Male,43,Liverpool,822.93,257.59,13.27,5,Missed,Home,Currys,2471.01,340,0,0
Female,49,Leeds,240.22,332.18,150.62,2,Missed,Groceries,Amazon,3970.43,658,1,0
Male,18,Sheffield,1862.12,215.94,297.34,9,Missed,Sports,Tesco,7380.68,744,0,0
Other,47,Birmingham,995.63,16.17,291.87,4,Ongoing,Sports,Tesco,1541.47,835,1,0
Other,18,Glasgow,1899.9,304.19,58.95,2,Missed,Home,Argos,4137.94,747,2,0
Other,49,Glasgow,237.8,347.53,259.31,7,Ongoing,Sports,eBay,6374.88,339,0,0
Male,34,Sheffield,1920.13,348.84,169.14,5,Ongoing,Home,Zara,7928.64,324,1,0
Female,49,Glasgow,363.78,273.51,78.06,2,Missed,Fashion,Argos,7069.14,346,2,0
Other,64,Leeds,1982.97,458.4,126.21,7,Missed,Electronics,Tesco,3971.5,473,1,0
Other,35,Glasgow,1825.65,131.23,228.45,2,Paid,Electronics,Tesco,9231.23,766,3,0
Male,24,London,1886.31,353.69,234.86,3,Missed,Home,Argos,2002.61,744,0,0
Male,46,Leeds,1336.18,193.29,129.66,7,Ongoing,Beauty,Zara,5389.78,775,2,0
Other,41,London,1157.87,321.75,59.78,9,Ongoing,Groceries,Amazon,1374.99,401,1,0
Other,22,Liverpool,1541.19,104.51,184.89,9,Missed,Electronics,Argos,7290.11,307,1,0
Other,58,Birmingham,642.35,492.27,118.59,5,Paid,Electronics,Nike,6788.87,594,1,0
Female,51,Sheffield,154.38,480.26,167.46,1,Paid,Electronics,Tesco,9096.61,839,2,0
Other,30,Liverpool,451.74,270.88,192.31,6,Paid,Electronics,Nike,2697.76,493,0,0
Male,26,Birmingham,69.7,366.15,155.38,5,Paid,Groceries,Amazon,6417.8,754,1,0
Other,44,Glasgow,1897.18,302.38,157.6,6,Ongoing,Beauty,Tesco,8004.49,595,2,0
Other,39,Leeds,694.77,56.68,207.29,4,Ongoing,Fashion,Tesco,4185.86,343,1,1
Female,22,Liverpool,68.85,196.9,66.4,2,Missed,Home,Amazon,7879.08,727,3,0
Other,31,Manchester,146.59,105.12,77.95,4,Paid,Groceries,Nike,1010.51,713,0,0
Female,47,Birmingham,1373.1,486.96,289.06,10,Missed,Beauty,eBay,2961.65,638,0,0
Other,21,Birmingham,134.66,167.37,91.01,8,Ongoing,Fashion,eBay,8622.39,606,2,0
Other,60,Manchester,207.39,340.87,14.12,8,Ongoing,Beauty,Asda,2428.23,632,1,0
Male,33,Leeds,696.43,43.52,197.71,11,Paid,Groceries,Nike,9996.23,814,0,1
Female,53,Liverpool,335.39,86.29,273.24,11,Ongoing,Groceries,Amazon,1205.41,658,0,0
Other,53,Leeds,111.96,455.0,33.84,1,Ongoing,Beauty,Asda,8561.55,453,0,0
Other,24,Manchester,231.97,178.13,257.79,2,Ongoing,Home,Argos,1761.01,419,0,0
Male,21,London,1743.64,301.2,89.93,8,Ongoing,Home,eBay,9917.87,786,1,0
Female,59,Leeds,1346.93,259.45,12.53,9,Paid,Electronics,eBay,1249.45,624,0,1
Male,42,Sheffield,1483.57,103.03,227.57,1,Missed,Home,Zara,6999.12,774,2,0
Other,25,Glasgow,1493.82,94.83,186.64,9,Paid,Beauty,Tesco,9260.11,422,3,0
Female,24,Leeds,173.49,181.21,252.58,4,Ongoing,Fashion,eBay,5494.62,402,1,0
Female,48,Leeds,1173.88,330.69,74.96,10,Paid,Home,Argos,8085.91,633,2,0
Female,33,Birmingham,1375.24,98.11,28.63,5,Missed,Beauty,Currys,6486.9,652,2,0
Other,37,Glasgow,1904.67,102.06,144.36,4,Ongoing,Beauty,Amazon,9498.77,739,0,0
Female,55,Liverpool,81.54,280.27,126.34,5,Ongoing,Electronics,Zara,9852.97,385,3,0
Other,30,Glasgow,886.84,394.05,298.78,11,Ongoing,Fashion,Currys,8049.83,798,2,0
Male,44,Leeds,624.04,34.02,152.27,7,Paid,Sports,Amazon,7107.81,422,0,0
Other,44,Manchester,359.84,339.97,248.11,9,Ongoing,Sports,Currys,8324.68,830,0,0
Other,21,Glasgow,181.36,60.85,169.82,4,Paid,Beauty,Tesco,1943.99,390,0,0
Male,48,Leeds,645.64,125.01,271.36,7,Missed,Groceries,Amazon,5526.51,796,3,0
Other,51,Sheffield,359.34,24.86,11.86,8,Missed,Home,Nike,1361.56,648,0,0
Other,42,Sheffield,77.77,77.56,243.27,4,Missed,Beauty,Currys,1715.35,840,1,0
Male,48,Glasgow,188.43,485.84,254.61,9,Ongoing,Electronics,Argos,2943.3,752,0,0
Female,47,Sheffield,1724.14,33.67,234.9,3,Missed,Electronics,Amazon,2677.77,830,1,0
Male,27,Glasgow,90.76,26.78,144.31,8,Missed,Beauty,Currys,7978.33,710,1,0
Female,41,Birmingham,1692.45,259.9,57.43,2,Ongoing,Fashion,Asda,6613.14,537,4,0
Other,19,Manchester,1277.72,423.21,16.45,10,Ongoing,Fashion,Currys,3392.64,742,0,0
Male,60,Birmingham,61.38,81.82,65.44,10,Ongoing,Home,Currys,6278.2,538,0,0
Male,37,Liverpool,868.55,363.13,101.98,7,Paid,Fashion,eBay,4361.3,572,4,0
Female,49,Manchester,201.99,372.31,149.47,8,Missed,Home,Asda,5924.12,810,1,0
Female,20,London,780.09,253.15,96.34,2,Missed,Beauty,Nike,9991.87,340,2,0
Female,32,Birmingham,1744.96,466.78,98.88,9,Paid,Groceries,Asda,3097.3,780,0,0
Female,25,Leeds,600.06,374.29,179.53,3,Missed,Home,Nike,5157.85,493,1,0
Male,20,Leeds,1358.27,16.9,125.78,6,Missed,Sports,Asda,1625.91,477,3,0
Male,26,Glasgow,1740.48,31.97,32.33,3,Paid,Home,Currys,8007.1,577,2,0
Male,37,London,917.64,183.73,299.41,3,Paid,Fashion,Amazon,2752.74,626,1,0
Other,19,Leeds,1447.56,322.07,20.11,2,Missed,Home,Argos,8834.38,371,2,0
Other,21,London,1893.11,55.3,245.54,3,Ongoing,Electronics,Zara,7219.37,361,1,0
Male,27,Birmingham,1980.1,159.5,274.51,9,Ongoing,Groceries,Currys,6561.62,842,0,0
Male,23,Birmingham,448.12,470.29,16.07,5,Missed,Beauty,Currys,7279.47,455,1,0
Other,29,London,938.77,47.41,219.74,5,Paid,Beauty,Tesco,6827.33,500,1,0
Male,20,Liverpool,812.37,305.33,59.25,1,Paid,Sports,Asda,1745.58,616,0,0
Other,60,London,145.86,394.47,246.92,4,Ongoing,Electronics,Amazon,9590.78,619,0,0
Male,20,Glasgow,403.14,428.06,230.07,7,Missed,Home,Tesco,1577.8,456,2,0
Male,24,London,1010.15,179.37,134.36,8,Missed,Sports,Amazon,1606.93,513,1,0
Female,64,Leeds,1975.17,257.48,58.18,11,Ongoing,Sports,Amazon,6369.74,318,1,0
Female,52,Birmingham,842.96,80.83,232.05,9,Missed,Beauty,Tesco,4246.17,446,0,0
Other,48,London,1575.73,206.63,121.63,10,Paid,Electronics,Zara,4343.75,577,2,0
Female,55,London,726.59,320.01,99.84,11,Ongoing,Beauty,Currys,5088.65,823,0,0
Other,63,Glasgow,144.84,462.98,79.12,7,Missed,Electronics,Argos,7747.0,530,0,0
Male,60,Birmingham,1349.67,172.04,46.02,7,Missed,Beauty,Nike,4136.6,710,0,0
Other,39,Manchester,1173.69,100.2,220.73,2,Ongoing,Electronics,Tesco,7041.9,483,0,0
Female,57,Birmingham,224.41,292.28,286.67,11,Missed,Beauty,Asda,5145.84,552,0,0
Male,34,Glasgow,1926.67,337.68,252.03,9,Missed,Sports,Argos,1927.33,453,3,0
Male,59,Leeds,1639.66,80.75,159.75,10,Paid,Fashion,Zara,1214.76,667,2,0
Other,53,Birmingham,678.02,321.9,75.39,8,Paid,Electronics,Argos,2850.14,558,2,0
Other,63,Manchester,739.53,132.32,209.86,9,Missed,Groceries,Currys,7769.7,726,0,0
Female,63,Birmingham,492.67,353.18,38.66,8,Missed,Groceries,Nike,7550.54,409,0,0
Female,29,Liverpool,651.24,27.36,213.55,6,Missed,Groceries,eBay,7459.99,686,0,0
Other,44,Leeds,214.92,331.4,69.01,5,Ongoing,Groceries,Asda,6074.88,797,0,0
Male,26,Leeds,1081.17,32.16,272.58,7,Ongoing,Sports,Currys,5676.79,515,0,0
Other,28,London,826.92,188.68,52.16,10,Ongoing,Electronics,Zara,2713.37,563,2,0
Female,49,London,772.33,414.51,257.2,11,Ongoing,Beauty,Nike,1193.06,301,1,0
Female,29,Liverpool,1384.98,322.34,48.36,1,Ongoing,Home,Amazon,7998.8,335,3,0
Other,29,Birmingham,252.34,375.8,243.62,4,Missed,Fashion,Argos,5505.51,700,0,0
Female,63,London,1055.42,360.46,261.22,7,Missed,Electronics,Argos,6840.51,307,0,0
Other,32,Birmingham,1785.81,49.32,251.58,2,Paid,Home,Currys,1136.04,672,1,0
Female,36,Leeds,1224.22,98.26,237.65,9,Missed,Electronics,Tesco,8908.88,347,0,0
Other,44,Leeds,94.93,183.09,139.17,11,Ongoing,Fashion,Currys,2580.67,428,1,0
Other,62,Liverpool,1365.89,393.01,139.18,9,Missed,Sports,Tesco,7762.21,449,1,0
Other,19,Sheffield,1313.43,473.07,115.73,3,Paid,Fashion,Argos,9481.93,432,5,0
Other,30,Leeds,687.13,439.32,94.87,8,Ongoing,Fashion,Argos,2106.61,755,1,0
Male,23,Manchester,1588.05,473.06,114.92,4,Missed,Beauty,eBay,8072.52,693,2,0
Female,35,Sheffield,1274.98,171.68,82.68,8,Paid,Fashion,Currys,6083.65,481,0,0
Male,58,Sheffield,1464.77,287.11,259.36,8,Ongoing,Fashion,Tesco,3771.3,382,1,0
Male,45,Sheffield,1292.68,420.69,38.49,4,Ongoing,Beauty,eBay,1193.52,560,2,0
Other,60,Sheffield,1473.16,246.12,160.74,8,Ongoing,Groceries,Zara,2982.57,646,2,0
Male,40,Glasgow,358.41,22.34,222.63,5,Missed,Sports,Amazon,4420.08,626,1,0
Female,43,Manchester,908.59,78.64,86.74,5,Paid,Fashion,Argos,6653.96,587,2,0
Other,59,Manchester,1256.8,288.96,221.52,2,Ongoing,Home,Amazon,8185.94,515,2,0
Female,38,Liverpool,1607.6,442.83,66.47,4,Ongoing,Fashion,Argos,6514.31,746,0,0
Other,18,Manchester,1976.02,249.33,268.5,10,Paid,Home,Zara,4886.49,685,1,0
Male,50,London,256.77,484.38,230.4,8,Missed,Sports,Argos,7757.34,689,0,0
Female,54,London,103.91,245.65,187.88,10,Paid,Beauty,eBay,4475.17,704,1,0
Male,64,Leeds,760.45,399.28,297.44,1,Missed,Groceries,Nike,9360.03,369,1,0
Male,40,Liverpool,1153.73,68.44,167.85,10,Paid,Electronics,Asda,3347.58,566,1,0
Female,21,Liverpool,1949.99,399.17,72.1,9,Ongoing,Fashion,Asda,4577.28,405,0,0
Other,25,London,637.31,195.37,15.13,10,Missed,Sports,Nike,3654.55,535,0,0
Other,54,Liverpool,1540.74,414.37,53.96,8,Paid,Beauty,eBay,8485.57,845,0,0
Male,37,Sheffield,1108.98,330.75,196.5,4,Ongoing,Beauty,Argos,8047.49,405,2,0
Other,31,Liverpool,782.81,313.77,158.57,5,Ongoing,Sports,Currys,7802.19,786,1,1
Male,52,Glasgow,447.84,490.77,209.67,1,Ongoing,Sports,Nike,6565.22,600,0,0
Other,44,Sheffield,65.65,93.36,52.72,8,Ongoing,Electronics,Nike,6270.42,588,1,0
Male,40,Sheffield,770.86,24.41,226.47,5,Paid,Home,Asda,8389.88,455,1,0
Male,60,Liverpool,1932.07,428.38,215.78,6,Ongoing,Home,Asda,6562.16,759,0,0
Male,22,Sheffield,861.59,479.36,118.34,7,Paid,Fashion,Currys,2708.86,649,2,1
Female,25,Birmingham,1043.82,113.16,272.19,5,Paid,Sports,eBay,8097.71,667,1,1
Male,54,Manchester,968.05,123.06,22.04,5,Ongoing,Home,Argos,1358.22,642,1,1
Male,43,Manchester,729.55,65.78,120.91,4,Missed,Beauty,Asda,4221.08,841,1,0
Other,54,Glasgow,658.98,346.51,101.84,3,Ongoing,Sports,Amazon,3850.42,690,0,0
Female,37,Liverpool,1311.66,437.27,152.8,7,Paid,Home,Amazon,1581.43,595,3,0
Other,40,Manchester,816.8,110.38,141.7,7,Missed,Groceries,Tesco,8811.26,378,1,0
Female,35,Sheffield,536.71,398.25,269.22,9,Missed,Sports,Currys,8941.62,664,2,0
Other,48,Leeds,1288.09,426.4,260.52,8,Missed,Sports,eBay,3970.9,819,2,0
Male,47,Birmingham,1554.18,436.47,225.96,7,Paid,Electronics,eBay,7347.75,696,0,0
Male,59,Manchester,348.04,51.71,71.82,4,Ongoing,Electronics,Tesco,8259.83,330,0,0
Female,19,London,507.92,349.93,148.19,10,Ongoing,Home,Nike,4854.94,411,2,0
Male,32,Manchester,1927.65,306.29,140.66,5,Ongoing,Beauty,Asda,6612.37,391,0,0
Other,19,Glasgow,672.59,222.57,37.24,2,Missed,Beauty,Zara,1935.5,531,0,0
Female,57,Sheffield,1390.97,302.8,89.9,10,Missed,Fashion,Tesco,4039.71,459,0,0
Female,20,Liverpool,479.78,480.7,275.63,3,Missed,Groceries,Amazon,9059.02,384,0,0
Female,64,Glasgow,1204.84,343.78,228.36,8,Ongoing,Beauty,Asda,5455.04,805,2,0
Male,59,Manchester,1989.04,368.09,198.45,5,Missed,Sports,Asda,4043.47,561,1,0
Male,61,Sheffield,473.65,126.72,298.09,5,Paid,Fashion,Nike,2106.73,624,0,0
Male,62,Leeds,331.97,260.39,107.95,10,Paid,Beauty,eBay,1464.92,586,0,0
Male,49,London,875.4,293.32,42.91,10,Paid,Beauty,Zara,8294.1,633,1,0
Male,47,London,458.97,154.66,174.01,1,Missed,Fashion,Zara,5752.63,521,0,0
Male,35,London,1112.79,427.5,185.38,1,Missed,Groceries,Zara,5930.04,841,1,0
Male,33,London,513.08,365.31,67.45,8,Ongoing,Fashion,Tesco,1129.22,535,0,0
Male,20,Sheffield,353.96,421.9,16.09,2,Ongoing,Fashion,Zara,7830.08,705,1,1
Female,63,Liverpool,836.92,222.77,257.71,7,Ongoing,Beauty,eBay,9007.92,705,1,0
Female,40,London,1480.12,288.98,58.73,1,Ongoing,Home,Nike,4034.16,530,0,0
Female,56,Birmingham,209.85,466.07,275.97,9,Missed,Beauty,Zara,8628.99,820,2,0
Female,36,London,1070.13,431.58,248.69,8,Paid,Sports,eBay,9032.08,700,0,0
Male,44,Liverpool,1127.55,461.89,157.26,1,Missed,Home,Amazon,7285.54,640,2,0
Female,62,Sheffield,92.97,48.82,61.35,9,Paid,Groceries,Asda,6111.06,848,1,0
Female,22,Manchester,864.94,197.67,163.0,1,Paid,Groceries,Zara,6475.53,756,1,0
Female,26,Leeds,551.76,393.79,30.82,4,Ongoing,Sports,Argos,6895.64,536,1,0
Other,52,Liverpool,1233.76,432.87,151.52,10,Paid,Beauty,Argos,4726.02,650,1,0
Male,23,Sheffield,1466.61,372.8,212.41,7,Missed,Groceries,Zara,4552.01,785,3,0
Male,37,Sheffield,221.67,436.78,227.31,10,Ongoing,Beauty,Asda,6965.4,550,0,0
Female,29,Sheffield,1755.46,235.14,264.0,3,Missed,Home,Amazon,4085.84,693,0,0
Female,64,Liverpool,526.73,444.35,204.35,7,Ongoing,Home,Argos,6654.37,833,3,0
Male,18,London,1689.6,414.79,91.18,9,Missed,Groceries,Nike,8738.09,673,2,0
Other,42,Sheffield,1767.2,359.75,203.09,9,Ongoing,Fashion,Currys,8495.32,396,0,0
Other,27,Manchester,1607.95,357.35,10.27,2,Missed,Electronics,Asda,8435.67,506,0,0
Other,56,Birmingham,1692.1,136.43,171.2,4,Ongoing,Groceries,Argos,4478.38,326,1,0
Female,49,Manchester,416.73,498.62,259.16,9,Missed,Electronics,Asda,5857.16,502,0,0
Female,51,Leeds,1464.66,363.49,255.12,6,Missed,Sports,Nike,3764.46,847,0,0
Other,28,Glasgow,878.89,276.32,133.86,7,Missed,Electronics,Amazon,5580.64,836,2,0
Male,26,Sheffield,610.04,253.18,211.11,8,Missed,Beauty,Tesco,7005.4,775,1,0
Male,27,Liverpool,513.36,352.44,286.9,1,Paid,Sports,Nike,6341.96,624,1,0
Other,61,Sheffield,1357.05,143.05,222.78,7,Missed,Beauty,Nike,7366.03,413,2,0
Female,61,London,1754.79,455.94,288.22,1,Missed,Home,Zara,8902.74,668,2,0
Male,46,London,777.98,490.77,34.28,1,Ongoing,Sports,Argos,3535.08,786,0,0
Other,19,Manchester,1072.85,486.88,211.88,2,Ongoing,Beauty,Currys,9973.39,446,1,0
Other,55,London,169.7,98.69,231.83,8,Ongoing,Sports,Amazon,7862.04,626,1,0
Other,28,Liverpool,1193.94,174.2,139.36,6,Missed,Groceries,Zara,7968.42,497,1,0
Other,58,Birmingham,946.87,363.16,195.5,6,Missed,Beauty,Nike,3446.38,412,2,0
Other,60,London,64.01,411.33,153.4,8,Paid,Home,Asda,9024.58,432,1,0
Male,41,Glasgow,63.52,468.16,54.97,2,Ongoing,Sports,Asda,6249.74,726,0,0
Female,23,Manchester,89.82,133.41,218.75,4,Paid,Fashion,eBay,2063.16,758,0,0
Other,38,Glasgow,749.62,126.32,232.27,10,Missed,Sports,Tesco,9636.89,566,1,0
Female,52,Birmingham,1581.24,396.81,23.33,8,Missed,Groceries,Nike,3351.07,566,1,0
Other,24,London,94.58,335.26,273.15,6,Paid,Groceries,eBay,5252.48,495,0,0
Male,31,Sheffield,1542.99,464.03,209.0,4,Missed,Home,Tesco,2337.37,329,0,0
Male,44,Glasgow,1979.95,124.11,58.98,3,Ongoing,Fashion,Amazon,6491.09,736,2,0
Male,42,Liverpool,339.45,321.38,82.67,6,Ongoing,Fashion,Currys,9084.19,595,0,0
Other,61,Leeds,738.65,424.56,85.73,7,Ongoing,Home,Amazon,3951.68,651,1,0
Other,58,Birmingham,1602.5,341.65,282.14,10,Paid,Home,eBay,7284.39,757,0,0
Male,27,Birmingham,1110.81,172.03,46.61,9,Ongoing,Beauty,Nike,1731.71,537,1,0
Female,28,London,1654.43,389.54,135.96,4,Missed,Beauty,Amazon,9493.76,733,1,0
Female,47,Liverpool,183.41,281.29,165.61,3,Paid,Electronics,Tesco,4155.19,661,0,0
Other,35,Birmingham,551.94,284.19,83.87,5,Ongoing,Sports,Currys,6716.79,818,1,0
Female,36,Liverpool,1503.33,481.28,12.94,3,Paid,Electronics,Tesco,5098.72,373,4,0
Other,58,Glasgow,1906.89,219.3,276.1,7,Paid,Electronics,Currys,9857.01,371,1,0
Female,27,London,1969.74,178.47,281.61,10,Paid,Groceries,Tesco,7855.34,761,1,1
Female,19,Liverpool,994.42,285.67,199.6,2,Paid,Sports,Tesco,2278.3,551,2,0
Female,41,Sheffield,1442.16,338.82,66.03,2,Paid,Fashion,eBay,3505.12,387,2,0
Female,55,Leeds,1813.61,199.07,132.15,6,Missed,Electronics,Nike,6484.37,612,1,0
Other,51,Liverpool,620.05,94.77,24.38,7,Paid,Sports,Currys,5569.99,351,1,0
Other,40,Sheffield,1110.69,285.52,249.71,3,Paid,Fashion,Asda,5018.49,845,0,0
Female,40,Sheffield,159.6,239.54,49.29,2,Paid,Electronics,Tesco,8511.49,605,0,0
Other,29,Birmingham,1251.02,366.35,77.35,11,Paid,Sports,eBay,6737.11,396,1,1
Female,51,London,1047.14,498.27,22.4,3,Paid,Fashion,eBay,5115.35,747,2,0
Female,22,Sheffield,656.03,474.14,275.98,11,Paid,Beauty,Amazon,6930.65,728,1,0
Male,40,Birmingham,1109.28,56.3,168.58,7,Missed,Beauty,Zara,4901.18,666,2,0
Female,64,Sheffield,1683.27,80.22,95.63,7,Paid,Groceries,Amazon,8904.71,833,0,0
Other,35,Sheffield,478.43,71.44,193.74,5,Paid,Electronics,Zara,6151.74,570,1,0
Other,58,Manchester,328.55,303.86,33.02,1,Ongoing,Groceries,Amazon,3633.67,732,0,1
Female,57,Liverpool,1521.68,310.18,234.09,9,Ongoing,Fashion,Asda,2038.82,743,2,0
Male,55,Sheffield,669.96,243.57,186.69,3,Missed,Groceries,Nike,2878.26,439,1,0
Male,60,London,114.22,407.51,225.62,2,Missed,Sports,Argos,9350.19,705,0,0
Male,62,Manchester,217.97,380.33,14.33,10,Paid,Fashion,eBay,5112.28,358,2,0
Female,52,Birmingham,1165.21,300.49,235.11,8,Ongoing,Beauty,Asda,5092.13,842,0,0
Male,46,Liverpool,1386.72,131.26,202.52,2,Paid,Sports,Tesco,9554.17,810,1,0
Other,25,London,1477.47,486.43,232.47,8,Paid,Home,Amazon,3927.89,798,1,0
Other,27,Glasgow,1182.9,484.1,130.79,7,Missed,Sports,Amazon,2272.43,846,1,0
Male,51,Leeds,1318.84,76.19,55.88,5,Paid,Electronics,Tesco,7090.12,769,0,0
Other,22,Birmingham,257.52,62.74,203.07,8,Paid,Fashion,Argos,8622.87,619,1,0
Male,34,London,202.84,230.87,44.88,2,Ongoing,Electronics,Amazon,6627.1,308,1,0
Male,54,Leeds,570.1,279.16,64.39,10,Paid,Sports,Argos,7565.82,843,1,0
Male,56,London,1212.88,412.12,271.74,4,Paid,Fashion,Tesco,5700.89,507,0,1
Female,39,Leeds,1223.83,133.86,139.82,4,Missed,Groceries,eBay,4605.2,686,1,0
Male,34,Liverpool,1375.39,125.24,194.96,8,Paid,Sports,Tesco,6961.88,339,3,1
Female,60,Sheffield,1356.67,22.74,297.76,6,Missed,Beauty,Amazon,2387.54,705,0,0
Other,54,Liverpool,1007.29,333.4,203.27,7,Paid,Sports,Amazon,9032.41,641,1,0
Other,51,Manchester,1959.41,285.95,134.45,5,Ongoing,Home,Currys,8595.19,555,2,0
Other,50,London,1405.66,282.34,294.94,8,Paid,Electronics,Tesco,6693.47,723,0,0
Male,18,London,1176.08,64.1,234.43,5,Ongoing,Fashion,eBay,2319.47,463,0,0
Male,43,Sheffield,1610.68,395.71,277.7,6,Ongoing,Electronics,Zara,1790.67,620,1,0
Female,49,Glasgow,1805.26,32.51,106.23,6,Missed,Electronics,Currys,9985.15,583,0,0
Male,36,Liverpool,1011.84,200.19,120.98,2,Ongoing,Home,Asda,4943.25,534,1,0
Male,47,Liverpool,1459.74,370.81,78.95,4,Paid,Groceries,Nike,5384.59,585,1,0
Female,34,Leeds,868.11,137.99,237.79,10,Missed,Sports,Argos,1116.51,367,1,0
Other,20,London,1666.39,133.53,114.22,1,Paid,Home,Asda,3698.24,630,0,1
Female,43,Birmingham,1720.38,299.51,267.57,7,Paid,Home,Amazon,4242.89,686,0,0
Male,58,Leeds,1035.36,431.08,142.73,5,Paid,Fashion,Argos,4722.44,785,0,0
Female,58,Leeds,1584.21,152.53,106.71,4,Paid,Electronics,Currys,2676.27,760,1,0
Male,61,Glasgow,294.15,172.84,89.36,2,Ongoing,Groceries,Nike,1862.17,682,2,0
Male,44,Birmingham,650.59,157.78,289.58,6,Paid,Electronics,eBay,5309.17,536,1,0
Other,61,Glasgow,534.5,204.02,82.66,9,Ongoing,Electronics,eBay,8621.44,797,0,0
Female,51,Liverpool,325.77,62.16,197.49,7,Missed,Groceries,Zara,9106.33,507,0,0
Female,63,Liverpool,1039.88,480.43,12.83,2,Ongoing,Fashion,Zara,2341.99,684,0,0
Male,51,London,1395.42,285.49,100.36,9,Ongoing,Sports,Currys,6641.83,788,0,0
Male,36,Manchester,1582.62,138.05,160.34,8,Ongoing,Fashion,Amazon,6203.69,813,1,0
